2023 Rank,Municipality,Designation,Primary County,2023 Estimate,2020 Census
1.0,Houston,City,Harris,2301572.0,55.0
2.0,San Antonio,City,Bexar,1434625.0,423.0
3.0,Dallas,City,Dallas,1304379.0,12.0
4.0,Austin,City,Travis,961855.0,187.0
5.0,Fort Worth,City,Tarrant,918915.0,648.0
6.0,El Paso,City,El Paso,678815.0,2.0
7.0,Arlington,City,Tarrant,394266.0,106.0
8.0,Corpus Christi,City,Nueces,317863.0,40.0
9.0,Plano,City,Collin,285494.0,164.0
10.0,Lubbock,City,Lubbock,257141.0,379.0
11.0,Laredo,City,Webb,255205.0,94.0
12.0,Irving,City,Dallas,256684.0,90.0
13.0,Garland,City,Dallas,246018.0,104.0
14.0,Frisco,City,Collin,200509.0,1222.0
15.0,McKinney,City,Collin,195308.0,932.0
16.0,Amarillo,City,Potter,200393.0,101.0
17.0,Grand Prairie,City,Dallas,196100.0,308.0
18.0,Brownsville,City,Cameron,186738.0,183.0
19.0,Killeen,City,Bell,153095.0,428.0
20.0,Denton,City,Denton,139869.0,1321.0
21.0,Mesquite,City,Dallas,150108.0,186.0
22.0,Pasadena,City,Harris,151950.0,344.0
23.0,McAllen,City,Hidalgo,142210.0,308.0
24.0,Waco,City,McLennan,138486.0,457.0
25.0,Midland,City,Midland,132524.0,443.0
26.0,Lewisville,City,Denton,111822.0,1943.0
27.0,Carrollton,City,Dallas,133434.0,39.0
28.0,Round Rock,City,Williamson,119468.0,916.0
29.0,Abilene,City,Taylor,125182.0,308.0
30.0,Pearland,City,Brazoria,125828.0,152.0
31.0,College Station,City,Brazos,120511.0,388.0
32.0,Richardson,City,Dallas,119469.0,170.0
33.0,League City,City,Galveston,114392.0,169.0
34.0,Odessa,City,Ector,114428.0,115.0
35.0,Beaumont,City,Jefferson,115282.0,268.0
36.0,Allen,City,Collin,104627.0,668.0
37.0,New Braunfels,City,Comal,90403.0,2274.0
38.0,Tyler,City,Smith,105995.0,409.0
39.0,Sugar Land,City,Fort Bend,111026.0,226.0
40.0,Conroe,City,Montgomery,89956.0,2033.0
41.0,Edinburg,City,Hidalgo,100243.0,554.0
42.0,Wichita Falls,City,Wichita,102316.0,37.0
43.0,San Angelo,City,Tom Green,99893.0,63.0
44.0,Georgetown,City,Williamson,67176.0,4337.0
45.0,Temple,City,Bell,82073.0,1343.0
46.0,Bryan,City,Brazos,83980.0,671.0
47.0,Mission,City,Hidalgo,85778.0,177.0
48.0,Baytown,City,Harris,83701.0,44.0
49.0,Longview,City,Gregg,81638.0,196.0
50.0,Pharr,City,Hidalgo,79715.0,87.0
51.0,Leander,City,Williamson,59202.0,3524.0
52.0,Flower Mound,Town,Denton,75956.0,459.0
53.0,Mansfield,City,Tarrant,72602.0,818.0
54.0,Cedar Park,City,Williamson,77595.0,10.0
55.0,Missouri City,City,Fort Bend,74259.0,339.0
56.0,San Marcos,City,Hays,67553.0,594.0
57.0,Harlingen,City,Cameron,71829.0,44.0
58.0,North Richland Hills,City,Tarrant,69917.0,106.0
59.0,Rowlett,City,Dallas,62535.0,684.0
60.0,Victoria,City,Victoria,65534.0,41.0
61.0,Pflugerville,City,Travis,65191.0,17.0
62.0,Kyle,City,Hays,45697.0,3688.0
63.0,Wylie,City,Collin,57526.0,617.0
64.0,Euless,City,Tarrant,61032.0,221.0
65.0,Little Elm,City,Denton,46453.0,2593.0
66.0,Texas City,City,Galveston,51898.0,908.0
67.0,DeSoto,City,Dallas,56145.0,72.0
68.0,Port Arthur,City,Jefferson,56039.0,88.0
69.0,Burleson,City,Johnson,47641.0,1591.0
70.0,Galveston,City,Galveston,53695.0,85.0
71.0,Rockwall,City,Rockwall,47251.0,1199.0
72.0,Grapevine,City,Tarrant,50631.0,59.0
73.0,Huntsville,City,Walker,45941.0,568.0
74.0,Cedar Hill,City,Dallas,49148.0,150.0
75.0,Bedford,City,Tarrant,49928.0,312.0
76.0,Sherman,City,Grayson,43645.0,877.0
77.0,Waxahachie,City,Ellis,41140.0,1473.0
78.0,Keller,City,Tarrant,45776.0,118.0
79.0,The Colony,City,Denton,44534.0,210.0
80.0,Haltom City,City,Tarrant,46073.0,170.0
81.0,Celina,City,Collin,16739.0,15878.0
82.0,Schertz,City,Guadalupe,42002.0,295.0
83.0,Weslaco,City,Hidalgo,40160.0,720.0
84.0,Fulshear,City,Fort Bend,16856.0,15282.0
85.0,Prosper,Town,Collin,30174.0,3807.0
86.0,Coppell,City,Dallas,42983.0,367.0
87.0,Midlothian,City,Ellis,35125.0,1773.0
88.0,Rosenberg,City,Fort Bend,38282.0,737.0
89.0,Friendswood,City,Galveston,41213.0,94.0
90.0,Lancaster,City,Dallas,41275.0,257.0
91.0,Hurst,City,Tarrant,40413.0,274.0
92.0,Duncanville,City,Dallas,40706.0,448.0
93.0,Hutto,City,Williamson,27577.0,4057.0
94.0,Copperas Cove,City,Coryell,36670.0,552.0
95.0,Socorro,City,El Paso,34306.0,1146.0
96.0,Weatherford,City,Parker,30854.0,2351.0
97.0,La Porte,City,Harris,35124.0,532.0
98.0,Farmers Branch,City,Dallas,35991.0,257.0
99.0,San Juan,City,Hidalgo,35294.0,327.0
100.0,Cibolo,City,Guadalupe,32276.0,1270.0
101.0,Cleburne,City,Johnson,31352.0,1549.0
102.0,Seguin,City,Guadalupe,29433.0,2236.0
103.0,Texarkana,City,Bowie,36193.0,125.0
104.0,Forney,City,Kaufman,23455.0,5123.0
105.0,Del Rio,City,Val Verde,34673.0,29.0
106.0,Harker Heights,City,Bell,33097.0,408.0
107.0,Lufkin,City,Angelina,34143.0,11.0
108.0,Deer Park,City,Harris,34495.0,382.0
109.0,Greenville,City,Hunt,28164.0,1617.0
110.0,Sachse,City,Dallas,27103.0,1915.0
111.0,Nacogdoches,City,Nacogdoches,32147.0,3.0
112.0,Southlake,City,Tarrant,31265.0,41.0
113.0,Converse,City,Bexar,27466.0,1039.0
114.0,Alvin,City,Brazoria,27098.0,566.0
115.0,Eagle Pass,City,Maverick,28130.0,54.0
116.0,Princeton,City,Collin,17027.0,6460.0
117.0,Lake Jackson,City,Brazoria,28177.0,145.0
118.0,Anna,City,Collin,16896.0,6277.0
119.0,Balch Springs,City,Dallas,27685.0,352.0
120.0,Katy,City,Harris,21894.0,2040.0
121.0,Denison,City,Grayson,24479.0,761.0
122.0,Colleyville,City,Tarrant,26057.0,123.0
123.0,Corsicana,City,Navarro,25109.0,224.0
124.0,Belton,City,Bell,23054.0,918.0
125.0,Saginaw,City,Tarrant,23890.0,523.0
126.0,Paris,City,Lamar,24476.0,201.0
127.0,University Park,City,Dallas,25278.0,128.0
128.0,Kerrville,City,Kerr,24278.0,269.0
129.0,Fate,City,Rockwall,17958.0,3713.0
130.0,Kingsville,City,Kleberg,25402.0,321.0
131.0,San Benito,City,Cameron,24861.0,148.0
132.0,Benbrook,City,Tarrant,24520.0,75.0
133.0,Horizon City,City,El Paso,22489.0,747.0
134.0,Royse City,City,Rockwall,13508.0,7869.0
135.0,Marshall,City,Harrison,23392.0,310.0
136.0,Corinth,City,Denton,22634.0,474.0
137.0,Ennis,City,Ellis,20159.0,1750.0
138.0,Melissa,City,Collin,13901.0,6956.0
139.0,Watauga,City,Tarrant,23650.0,303.0
140.0,Big Spring,City,Howard,26144.0,1442.0
141.0,Stephenville,City,Erath,20897.0,502.0
142.0,Dickinson,City,Galveston,20847.0,473.0
143.0,Boerne,City,Kendall,17850.0,2198.0
144.0,Terrell,City,Kaufman,17465.0,2299.0
145.0,Alton,City,Hidalgo,18198.0,1611.0
146.0,Murphy,City,Collin,21013.0,44.0
147.0,Portland,City,San Patricio,20383.0,48.0
148.0,Alamo,City,Hidalgo,19493.0,496.0
149.0,Manor,City,Travis,13652.0,4803.0
150.0,Angleton,City,Brazoria,19429.0,400.0
151.0,Universal City,City,Bexar,19720.0,156.0
152.0,Crowley,City,Tarrant,18070.0,1030.0
153.0,Seagoville,City,Dallas,18446.0,649.0
154.0,La Marque,City,Galveston,18030.0,874.0
155.0,Plainview,City,Hale,20187.0,380.0
156.0,Palestine,City,Anderson,18544.0,447.0
157.0,Lakeway,City,Travis,19189.0,0.0
158.0,Brenham,City,Washington,17369.0,1021.0
159.0,Orange,City,Orange,19324.0,112.0
160.0,Glenn Heights,City,Dallas,15819.0,1880.0
161.0,Brownwood,City,Brown,18862.0,38.0
162.0,Red Oak,City,Ellis,14222.0,3095.0
163.0,Nederland,City,Jefferson,18856.0,391.0
164.0,Gainesville,City,Cooke,17394.0,410.0
165.0,White Settlement,City,Tarrant,18269.0,145.0
166.0,Alice,City,Jim Wells,17891.0,174.0
167.0,Bay City,City,Matagorda,18061.0,277.0
168.0,Stafford,City,Fort Bend,17666.0,186.0
169.0,Taylor,City,Williamson,16267.0,658.0
